"Date","Open","High","Low","Close","Volume"
"10/27/2025","151.41","153.2105","143.67","146.09","30,204,962"
"10/20/2025","154.7","155.19","150.96","152.63","26,516,747"
"10/13/2025","148.69","154.42","148.5","153.64","34,525,854"
"10/06/2025","140.37","150.815","138.59","148.89","52,890,823"
"09/29/2025","140.17","143.37","138.88","139.7","30,137,959"
"09/22/2025","141.035","143.42","139.1242","140.17","37,562,243"
"09/15/2025","140.69","142.08","139.91","141.03","39,646,009"
"09/08/2025","141.18","144.75","140.5312","140.64","31,019,680"
"09/01/2025","157.44","157.8","140.345","141.71","53,263,922"
"08/25/2025","147.5","149.22","145.81","148.65","36,326,846"
"08/18/2025","150","154.61","147.58","148.2","38,616,348"
"08/11/2025","145.55","151.1","144.715","149.55","39,772,797"
"08/04/2025","139.6","145.6","139.26","144.87","31,045,645"
"07/28/2025","141.57","144.4","137.64","139.56","43,726,479"
"07/21/2025","141.23","147.0301","141.23","141.57","41,857,629"
"07/14/2025","135.43","146.35","133.75","141.7","68,814,610"
"07/07/2025","133.41","136.6757","132.96","135.57","40,795,736"
"06/30/2025","132.59","137","132.47","134.45","34,950,479"
"06/23/2025","129.14","132.36","127.6","132.04","69,626,333"
"06/16/2025","131.16","131.6899","127.82","129.09","54,862,326"
"06/09/2025","130.2","133.06","129.46","131.41","53,230,860"
"06/02/2025","130.63","132.74","129.18","129.96","39,507,241"
"05/26/2025","130.08","132.7199","129.07","130.91","49,781,079"
"05/19/2025","131.745","132.165","127.75","129.34","32,130,693"
"05/12/2025","131.17","132.26","127.87","131.79","46,580,893"
"05/05/2025","131.9","132.98","130.06","131.68","32,759,287"
"04/28/2025","132.48","136.1789","131.52","131.99","37,883,114"
"04/21/2025","142.28","144.275","131.8","133.76","50,525,302"
"04/14/2025","145.84","145.98","139.7698","141.73","26,882,308"
"04/07/2025","143.945","147.175","138.33","146.75","48,493,438"
"03/31/2025","150.485","154.92","140.67","143.19","47,489,857"
"03/24/2025","146.15","152.59","144.83","149.94","34,582,684"
"03/17/2025","150","151.3","144.75","146.45","36,318,609"
"03/10/2025","155.79","156.05","146.51","151.34","32,390,156"
"03/03/2025","157.335","160.15","152.53","156.25","44,428,610"
"02/24/2025","154.79","158.46","149.93","155.99","42,059,296"
"02/17/2025","142.9","156.32","141.6","153.85","39,097,241"
"02/10/2025","144.37","146.17","143.03","143.39","25,189,224"
"02/03/2025","146.1","147.75","142.7","144.35","42,246,795"
"01/27/2025","154.145","154.61","148.83","150.27","27,997,991"
"01/20/2025","148.33","155.47","146.61","154.61","32,450,502"
"01/13/2025","144.19","148.62","143.56","148.25","26,544,913"
"01/06/2025","146.46","147.97","141.51","144.5","31,999,157"
"12/30/2024","151.8","153.66","146.1","146.27","23,937,458"
"12/23/2024","150.5","153.47","150.41","151.72","18,613,413"
"12/16/2024","155.74","158.5","149.7056","151.29","50,050,306"
"12/09/2024","159","160.515","155.88","156.02","31,155,180"
"12/02/2024","162.84","163.05","157.14","159.47","33,211,215"
"11/25/2024","163.27","165.13","160.95","163.05","16,043,659"
"11/18/2024","157.75","163.59","155.85","163.05","33,719,755"
"11/11/2024","164.09","166.885","157.76","158.33","31,056,041"
"11/04/2024","165.95","167.96","163.47","164.26","25,241,783"
"10/28/2024","169.2","169.2","165.1852","166.34","26,736,447"
"10/21/2024","174.51","174.95","169.725","169.84","21,465,507"
"10/14/2024","176.355","177.5","172.12","175.01","25,862,738"
"10/07/2024","167.72","176.27","166.85","176.1","30,024,072"
"09/30/2024","171.29","171.94","166.455","167.21","27,822,989"
"09/23/2024","170.99","171.74","168.68","170.05","30,617,168"
"09/16/2024","177","178.09","170.22","172.11","34,665,903"
"09/09/2024","178.65","179.425","173.95","177.21","20,807,137"
"09/02/2024","172.38","179.73","171.88","178.19","30,025,091"
"08/26/2024","176.31","176.88","171.25","172.88","20,767,913"
"08/19/2024","173.53","176.84","172.5","175.97","24,047,269"
"08/12/2024","171.62","174.34","170.22","173.82","20,059,251"
"08/05/2024","173.28","176.21","169.81","171.42","24,854,185"
"07/29/2024","172.69","180.91","171.55","174.04","31,593,291"
"07/22/2024","167.79","173.49","164.95","173.21","25,381,145"
"07/15/2024","163.41","172.67","162.84","167.66","29,002,440"
"07/08/2024","162.19","168.03","158.03","163.86","34,662,267"
"07/01/2024","163.5","164.52","161.92","162.12","17,007,395"
"06/24/2024","168.08","168.96","162.58","162.89","26,589,694"
"06/17/2024","166.1","169.6099","165.25","168.08","23,838,095"
"06/10/2024","164.87","166.41","161.54","166.14","29,013,842"
"06/03/2024","171.21","174.4","165.62","165.9","28,480,251"
"05/27/2024","176.23","176.275","169.52","171.23","28,622,093"
"05/20/2024","181.5","182.13","177.87","177.99","14,791,481"
"05/13/2024","181.05","183.41","178.6","180.31","21,948,833"
"05/06/2024","177","181.35","176.51","180.9","18,140,160"
"04/29/2024","176.27","176.76","173.66","175.82","19,839,003"
"04/22/2024","174.7","180.63","167.65","176.14","34,299,803"
"04/15/2024","167.03","177.2","166.89","176.46","28,138,949"
"04/08/2024","170.225","170.72","166.03","166.95","23,184,460"
"04/01/2024","172.94","173.87","168.065","169.58","24,577,198"
"03/25/2024","172.17","176.23","171.815","172.98","20,030,345"
"03/18/2024","171.1","173.42","171","172.6","25,092,369"
"03/11/2024","165.14","172.18","163.64","171.26","48,265,422"
"03/04/2024","165.22","165.5","161.81","164.73","29,205,503"
"02/26/2024","167.82","168.5","163.25","165.37","27,746,113"
"02/19/2024","167.74","170.25","166.1","168.26","28,099,209"
"02/12/2024","171.22","171.45","165.68","166.32","22,731,286"
"02/05/2024","171.45","174.1","166.97","170.61","40,821,541"
"01/29/2024","167.67","171.96","167.17","170.92","25,944,835"
"01/22/2024","164.56","168.7","164.36","168.15","25,853,760"
"01/15/2024","167.27","167.52","164.99","165.11","25,904,610"
"01/08/2024","167.79","167.96","164.82","167.27","19,010,626"
"01/01/2024","169.52","175.2","167.56","169.11","28,602,602"
"12/25/2023","167.65","170.065","167.25","169.84","12,484,931"
"12/18/2023","167.935","168.83","165.39","167.68","17,418,190"
"12/11/2023","169.28","172.05","166.45","168.91","40,891,317"
"12/04/2023","169.15","169.5731","165.27","167.82","26,242,983"
"11/27/2023","168.38","169.92","164.82","169.14","26,346,305"
"11/20/2023","167.11","170.02","165.9216","168.32","12,632,101"
"11/13/2023","167.95","170","165.72","166.52","27,707,169"
"11/06/2023","166.8","168.78","164.86","167.77","26,209,327"
"10/30/2023","162.95","168.81","161.66","166.7","27,891,387"
"10/23/2023","160.41","163.5","158.89","162.28","24,650,864"
"10/16/2023","160","163.4","159.06","160.08","30,681,074"
"10/09/2023","164.25","165.44","157.43","161.08","40,215,743"
"10/02/2023","168.86","170","155.83","161.36","39,583,213"
"09/25/2023","173","173.72","167.32","169.17","24,818,355"
"09/18/2023","178.86","179.419","173.18","174.33","20,513,146"
"09/11/2023","178.74","181.82","177.795","179.38","26,075,018"
"09/04/2023","175.265","179.43","173.48","178.93","23,458,049"
"08/28/2023","180.3","182.26","174.6362","175.32","17,890,154"
"08/21/2023","176.18","181.18","175.31","180.25","21,144,733"
"08/14/2023","183.15","183.46","176.23","177.05","20,773,647"
"08/07/2023","187.2","187.48","182.625","183.62","19,418,125"
"07/31/2023","187.49","189.97","184.35","186.89","17,972,720"
"07/24/2023","190.41","192.38","186.85","187.46","22,852,932"
"07/17/2023","185.44","191.47","183.82","190.92","34,130,224"
"07/10/2023","184.38","188.625","182.415","185.63","28,323,937"
"07/03/2023","185","186.75","183.03","184.3","22,688,703"
"06/26/2023","184.67","186.74","181.39","185.6","26,750,259"
"06/19/2023","186.54","188","184.1203","184.89","22,472,533"
"06/12/2023","182.13","187.585","181.08","186.04","19,650,043"
"06/05/2023","184.98","185.12","179.33","181.9","20,582,657"
"05/29/2023","182.055","186.17","180.7","184.19","38,624,172"
"05/22/2023","186.49","186.74","181.95","183.58","19,265,502"
"05/15/2023","194.48","194.48","186.41","186.64","24,062,217"
"05/08/2023","193.86","196.88","192.6749","194.27","16,818,532"
"05/01/2023","191.36","194.48","189.75","193.35","17,765,872"
"04/24/2023","186.56","192.325","186.24","191.68","23,034,670"
"04/17/2023","184.77","186.57","183.74","185.5","15,838,763"
"04/10/2023","183.42","184.75","182.105","184.45","17,308,968"
"04/03/2023","182.18","184.96","181.1","183.2","12,930,870"
"03/27/2023","179.33","182.76","179.33","182.5","18,471,480"
"03/20/2023","177.66","180.65","175.02","179.49","20,641,184"
"03/13/2023","172.49","177.68","171.57","177.59","31,536,617"
"03/06/2023","173.67","177.23","170.96","173.71","23,452,870"
"02/27/2023","174.88","175.06","169.12","173.5","21,391,257"
"02/20/2023","175.58","177.43","174.29","175.91","21,065,975"
"02/13/2023","177.1","177.245","174.54","176.28","18,254,071"
"02/06/2023","170.29","178.225","169.26","177.77","32,732,576"
"01/30/2023","170.2","172.38","167.05","171.82","25,415,317"
"01/23/2023","169.61","171.98","168.45","169.48","23,179,772"
"01/16/2023","176.15","177.5525","167.46","169.12","26,005,114"
"01/09/2023","178.79","179.71","174.165","175.24","17,154,416"
"01/02/2023","180.59","182.77","176.57","179.33","20,588,209"
"12/26/2022","183.282","184.5442","179.29","180.66","11,424,842"
"12/19/2022","181.815","183.68","178.9166","182.26","13,989,581"
"12/12/2022","186.48","186.84","178.39","181.34","37,311,638"
"12/05/2022","183.75","184.29","180.69","183.97","21,685,519"
"11/28/2022","183.3","186.33","180.24","183.12","24,605,617"
"11/21/2022","185.81","186.62","183.51","183.89","14,869,149"
"11/14/2022","178.04","185.13","175.42","184.82","22,671,912"
"11/07/2022","180.44","182.92","175.44","176.73","28,176,452"
"10/31/2022","180.94","183.58","176.53","180.21","19,977,879"
"10/24/2022","178.12","182.98","176.61","181.58","27,375,743"
"10/17/2022","174.82","177.98","170.58","177.68","24,449,708"
"10/10/2022","162.24","176.258","161.56","172.73","35,771,651"
"10/03/2022","167.39","168.73","160.98","161.82","22,377,429"
"09/26/2022","168.24","170","163.01","165.25","27,114,752"
"09/19/2022","167.58","172.03","166.53","168.45","23,189,076"
"09/12/2022","172.5","172.83","165.25","168.73","33,277,589"
"09/05/2022","170.98","174.55","169.125","173.9","24,478,252"
"08/29/2022","174.34","174.97","169.89","170.66","20,272,068"
"08/22/2022","177.82","179.98","173.21","174.49","18,748,471"
"08/15/2022","179.78","181.07","178.02","178.45","16,161,622"
"08/08/2022","174.79","179.36","173.9579","179.28","16,813,429"
"08/01/2022","176.94","177.145","172.4","173.85","18,147,252"
"07/25/2022","170.57","177.69","169.06","176.95","19,596,027"
"07/18/2022","170.25","170.86","167.46","169.85","17,865,708"
"07/11/2022","173","173.32","167.7","168.26","22,091,860"
"07/04/2022","168.63","172.8","165.33","170.47","22,743,955"
"06/27/2022","167.15","169.52","163.85","169.39","18,258,751"
"06/20/2022","158.17","167.13","157.35","166.35","25,514,648"
"06/13/2022","160","160.05","154.8576","157.06","29,189,014"
"06/06/2022","165.68","166.93","159.06","159.74","21,843,595"
"05/30/2022","170.98","170.98","162.645","165.54","31,571,466"
"05/23/2022","166.02","171.81","165.1555","171.77","24,016,279"
"05/16/2022","175.31","175.68","159.62","165.6","30,737,969"
"05/09/2022","173.12","176.3","168.16","175.47","27,818,943"
"05/02/2022","169.14","174.12","166.58","171.7","31,424,699"
"04/25/2022","173.97","177.62","165.27","167.76","32,000,574"
"04/18/2022","169.84","177.24","169.84","173.74","24,774,991"
"04/11/2022","173.78","174.65","169.96","170.42","16,238,694"
"04/04/2022","168.32","174.97","168.32","172.6","21,525,944"
"03/28/2022","167.29","169.93","166.115","169.32","21,387,839"
"03/21/2022","162.84","165.9","162.23","165.73","21,929,105"
"03/14/2022","157.32","163.81","156.83","162.56","33,335,925"
"03/07/2022","162.38","163.97","153.37","155.89","28,870,563"
"02/28/2022","163.07","166.5","160.92","162.45","28,573,017"
"02/21/2022","168.57","169.12","160.285","163.74","36,648,571"
"02/14/2022","167.217","168.25","164.54","167.71","19,444,071"
